match_id,team1_champ_kills,team1_baron_kills,team1_drag_kills,team1_herald_kills,team1_tower_kills,team1_inhib_kills,team1_total_gold,team1_total_dmg,team1_win,team2_champ_kills,team2_baron_kills,team2_drag_kills,team2_herald_kills,team2_tower_kills,team2_inhib_kills,team2_total_gold,team2_total_dmg,team2_win
NA1_4491753160,22,0,0,0,0,0,49078,94367,0,41,1,3,1,10,2,63917,121814,1
NA1_4513178934,9,0,2,1,2,0,42405,40076,0,23,1,1,1,9,2,55586,67551,1
NA1_4440043596,11,0,0,0,1,0,36014,53486,0,28,0,2,2,11,2,48668,60041,1
NA1_4463981726,17,0,0,0,2,0,48330,77303,0,38,1,3,2,11,2,62875,104949,1
NA1_4435967280,48,1,5,2,9,2,84460,180099,1,35,2,1,0,3,0,80552,135532,0
NA1_4421098298,23,1,3,1,8,1,54293,82837,1,21,0,0,1,3,0,47763,65452,0
NA1_4474481073,26,1,0,2,10,2,56301,86258,1,18,0,3,0,2,0,46558,64785,0
NA1_4430221757,30,1,1,0,5,0,66124,140826,0,43,0,3,2,9,1,73068,131104,1
NA1_4492699083,29,0,2,2,10,2,49391,63714,1,9,0,0,0,2,0,33710,40371,0
NA1_4471792859,6,0,0,0,0,0,25363,30535,0,18,0,1,1,3,0,33165,35160,1
NA1_4484218644,21,1,3,1,6,1,48859,53719,1,9,0,0,0,1,0,41406,42361,0
NA1_4428208398,28,0,1,2,6,1,42257,67436,1,11,0,2,0,2,0,35160,51320,0
NA1_4500707990,38,0,3,0,5,0,66713,127251,0,62,1,2,1,8,1,78668,164705,1
NA1_4451207061,3,0,0,1,2,0,29114,27385,0,19,0,2,1,4,0,36125,39645,1
NA1_4449448043,38,0,4,1,8,1,63163,113122,1,30,1,0,1,2,0,59746,90156,0
NA1_4456224650,26,0,2,1,3,0,60861,85987,0,31,1,3,1,6,0,64115,83024,1
NA1_4473979496,15,0,1,1,1,0,39853,43671,0,35,1,2,1,11,2,56875,79249,1
NA1_4443203541,23,0,2,1,4,0,42833,58676,1,15,0,0,1,2,0,35698,46224,0
NA1_4505376672,15,0,1,0,2,0,38372,46189,0,20,0,1,2,3,0,40716,58477,1
NA1_4479390002,39,2,5,0,9,3,86725,185681,1,35,1,1,1,7,3,81310,176077,0
NA1_4473186683,24,0,1,2,5,0,46787,57267,1,11,0,2,0,3,0,41010,55945,0
NA1_4457474692,7,0,0,0,2,0,38542,38526,0,19,1,3,2,10,1,50276,50402,1
NA1_4484396246,32,0,2,1,4,0,44480,64767,1,14,0,0,1,0,0,34066,54768,0
NA1_4504605921,3,0,0,1,0,0,19852,20416,0,24,0,2,0,4,0,34323,44529,1
NA1_4475945089,18,0,0,1,1,0,43563,60303,0,41,1,2,0,10,2,56160,87645,1
NA1_4492732866,11,0,0,1,2,0,36866,39714,0,30,0,1,1,5,0,44532,55959,1
NA1_4515444374,8,0,0,0,0,0,25092,30159,0,28,0,0,0,4,0,39744,53814,1
NA1_4435795992,25,1,1,1,6,1,48224,66679,1,16,0,2,1,3,0,42066,55754,0
NA1_4416794813,12,0,1,1,5,0,51487,74338,0,28,1,3,1,9,1,63461,83660,1
NA1_4485847225,24,1,3,2,5,0,51221,66332,1,16,0,0,0,2,0,41354,51048,0
NA1_4458245425,19,0,1,1,1,0,31253,40663,1,3,0,0,0,0,0,22239,25715,0
NA1_4454822048,18,0,0,0,2,0,38923,84786,0,35,0,3,2,8,1,52897,88693,1
NA1_4439911308,14,0,2,0,3,0,42742,50826,0,24,1,1,2,9,1,53800,59917,1
NA1_4441328267,25,1,2,1,3,0,51329,68631,1,13,0,1,1,3,0,43452,62226,0
NA1_4440401177,29,1,3,2,7,1,57747,71679,1,16,0,0,0,0,0,44311,63534,0
NA1_4481151747,14,0,0,2,1,0,35293,38391,0,33,0,3,0,5,0,48260,67606,1
NA1_4444187936,45,1,4,2,9,2,73895,167643,1,27,1,1,0,4,0,66566,124778,0
NA1_4474293170,9,0,1,0,0,0,30091,47456,0,30,0,1,2,8,1,46266,59670,1
NA1_4415646794,10,0,0,1,0,0,32058,32852,0,34,0,3,1,9,2,49738,61884,1
NA1_4486707715,29,1,1,2,8,1,54353,76658,1,17,0,2,0,1,0,42013,49930,0
NA1_4473801132,38,1,3,2,11,3,64493,115484,1,22,0,1,0,3,0,53223,92767,0
NA1_4475715405,18,0,0,1,2,0,52446,84311,0,38,1,4,0,10,2,67166,92392,1
NA1_4480171387,12,0,0,0,0,0,33207,36204,0,23,1,3,2,5,0,47437,63314,1
NA1_4483741420,23,0,2,2,4,0,51747,93290,0,35,1,1,0,9,2,60077,86910,1
NA1_4487660809,35,0,1,1,1,0,65597,119211,0,52,1,3,1,9,1,76705,150890,1
NA1_4481330932,18,0,0,1,2,0,54173,79639,0,34,2,4,1,10,3,67202,114910,1
NA1_4450536559,15,0,0,1,0,0,34515,55622,0,49,0,2,1,9,2,53289,90943,1
NA1_4422779981,21,0,1,1,4,0,35110,42267,1,9,0,1,0,1,0,24363,29581,0
NA1_4489219540,36,1,2,0,10,2,58870,86666,1,13,0,1,1,1,0,43480,58188,0
NA1_4482311944,12,0,1,1,1,0,37438,39788,0,17,1,2,1,3,0,43182,48341,1
NA1_4472962051,23,1,3,2,3,0,55749,77143,0,23,0,2,0,8,1,61468,113879,1
NA1_4464765204,23,0,3,1,3,0,67604,122986,0,22,2,3,1,8,1,75065,127294,1
NA1_4480456070,15,0,1,0,1,0,37077,43946,0,24,1,1,2,6,0,50943,67189,1
NA1_4463270210,33,1,2,2,9,1,56489,78853,1,13,0,1,0,2,0,42113,61798,0
NA1_4483693977,28,1,2,1,10,2,53758,88582,1,17,0,1,1,1,0,42600,70747,0
NA1_4480799106,30,1,4,1,4,1,71262,113583,0,15,2,2,1,11,4,77623,98946,1
NA1_4482621475,44,1,3,0,8,1,58878,101954,1,17,0,0,1,3,0,49344,83328,0
NA1_4474864631,32,0,4,1,8,1,57971,79475,1,16,1,0,1,3,0,52485,73887,0
NA1_4416495982,9,0,0,1,0,0,29882,43772,0,22,0,1,1,5,0,41280,45474,1
NA1_4512494331,44,0,4,2,7,1,67821,101539,1,34,2,1,0,10,1,68815,138975,0
NA1_4428751157,9,0,0,0,0,0,22975,28374,0,31,0,1,1,6,0,40659,47679,1
NA1_4478098743,20,1,0,0,2,0,47312,78824,0,38,0,3,2,8,1,58825,101956,1
NA1_4402020734,11,0,0,1,2,0,38344,35675,0,27,1,2,1,3,0,44738,57714,1
NA1_4400566659,5,0,0,1,1,0,26658,25982,0,19,0,1,0,1,0,32327,31269,1
NA1_4475779592,16,0,0,2,2,0,40665,51073,0,35,0,2,0,5,1,50133,71086,1
NA1_4428293046,24,0,4,1,9,1,57344,69242,1,21,0,0,1,2,0,50388,57560,0
NA1_4433912085,36,1,2,0,8,1,68526,104125,1,30,0,2,2,4,0,60751,101727,0
NA1_4508066250,23,0,1,1,4,0,37380,38691,1,11,0,0,0,0,0,26731,30937,0
NA1_4502103834,17,0,3,1,4,0,63784,112972,0,34,2,3,1,7,1,71482,119033,1
NA1_4461132533,20,0,2,0,2,0,35105,36159,1,8,0,1,1,1,0,29385,25754,0
NA1_4488473306,26,0,1,2,5,0,51081,90307,0,37,1,2,0,8,1,59754,105068,1
NA1_4465101550,37,1,2,1,7,2,66664,122913,1,23,1,2,1,6,0,61889,82939,0
NA1_4443391733,28,1,3,2,10,2,53512,89637,1,11,0,0,0,3,0,39932,43561,0
NA1_4439275408,26,1,0,2,4,0,58580,102751,0,38,1,3,0,8,1,65894,111323,1
NA1_4488847475,25,0,2,2,2,0,48691,70435,0,34,1,1,0,7,1,59289,90238,1
NA1_4487224898,50,1,2,0,9,3,80580,149519,1,34,1,3,2,7,1,78295,146372,0
NA1_4422339385,22,0,0,1,6,0,53349,65748,0,33,1,3,1,6,0,59015,84255,1
NA1_4468676306,18,0,0,0,0,0,45698,97305,0,35,1,4,2,9,1,60368,99793,1
NA1_4470099297,22,1,1,1,5,0,61955,73691,0,25,1,3,1,8,1,64755,109379,1
NA1_4437741114,9,0,0,1,2,0,34236,47189,0,26,0,2,1,6,0,43706,52623,1
NA1_4482296335,7,0,1,1,2,0,36450,53447,0,22,1,2,1,11,3,52492,59559,1
NA1_4508467605,29,0,3,1,3,0,50614,73688,1,17,0,0,1,2,0,42517,64200,0
NA1_4507862022,38,2,1,1,10,3,68671,101994,1,34,0,2,1,4,1,59633,89022,0
NA1_4468111405,43,2,4,2,10,2,72945,126781,1,25,0,0,0,0,0,55634,80357,0
NA1_4467603203,36,2,1,1,11,3,85875,149725,1,38,1,4,1,2,0,79713,144181,0
NA1_4491641877,37,1,1,2,9,2,55983,92054,1,18,0,1,0,1,0,43059,61326,0
NA1_4479830274,23,0,1,0,3,0,50050,84613,0,36,1,2,2,9,1,63984,122159,1
NA1_4492320783,4,0,0,0,0,0,22781,20608,0,12,0,1,1,2,0,30654,29100,1
NA1_4508405326,36,1,3,2,11,3,61633,113401,1,27,0,0,0,2,0,53547,92332,0
NA1_4485267501,32,1,1,0,5,1,54951,80451,1,22,0,1,1,2,0,48669,69746,0
NA1_4461187180,41,1,2,1,9,1,65980,100667,1,30,0,2,1,6,0,63605,102908,0
NA1_4451301184,20,0,1,1,3,0,44743,74002,0,26,1,2,1,8,1,51153,88912,1
NA1_4482874216,22,0,1,1,2,0,39393,60911,0,28,0,1,1,3,0,41983,59840,1
NA1_4438008151,19,0,1,2,9,1,38426,41727,1,2,0,0,0,0,0,22005,15972,0
NA1_4491622587,27,0,1,1,6,0,39294,47920,1,10,0,0,0,0,0,23522,23723,0
NA1_4448893233,19,0,1,2,5,0,45017,57588,0,27,1,2,0,6,0,49976,72785,1
NA1_4506729303,21,0,1,0,3,0,46054,70936,0,30,1,2,2,8,1,52166,64709,1
NA1_4466434064,28,0,0,0,2,0,45817,82240,0,36,1,3,2,10,1,58370,101763,1
NA1_4457547250,31,1,1,1,4,0,63087,97897,0,38,1,3,1,11,4,70958,150127,1
NA1_4470202172,12,0,1,1,3,0,30421,39344,1,5,0,1,0,0,0,23809,19075,0
NA1_4512911594,9,0,0,0,0,0,28910,25725,0,19,0,2,2,4,0,38584,41890,1
NA1_4410748029,20,1,2,2,6,0,44156,61341,1,9,0,0,0,0,0,32865,32468,0
NA1_4483151713,27,0,1,2,9,1,45351,57525,1,11,0,1,0,1,0,31090,43742,0
NA1_4501149998,37,1,1,1,11,3,65055,105369,1,34,0,2,1,1,0,55064,96742,0
NA1_4442903866,4,0,0,0,0,0,24818,28121,0,19,0,1,1,8,1,40598,42773,1
NA1_4446850590,10,0,0,0,0,0,33870,55401,0,35,0,2,2,10,2,49731,74845,1
NA1_4483761853,18,0,0,0,2,0,48943,76803,0,44,1,3,2,10,2,62979,93481,1
NA1_4458689252,11,0,0,2,4,0,43840,57687,0,29,1,4,0,7,1,52358,76792,1
NA1_4429996706,19,0,0,0,2,0,43835,60943,0,36,1,3,2,8,2,59453,76294,1
NA1_4512809676,21,0,2,0,3,0,55390,103007,0,49,1,1,2,7,1,66519,100426,1
NA1_4454909326,46,1,4,0,11,1,68740,132644,1,37,0,0,2,4,0,63032,118413,0
NA1_4427124696,31,0,1,0,2,0,47977,66885,0,36,1,2,2,8,1,54347,93583,1
NA1_4505480761,11,0,0,1,1,0,31892,37265,0,28,0,2,1,6,0,46964,65372,1
NA1_4421431190,26,1,1,2,7,1,48980,73859,1,18,0,2,0,4,0,45218,77611,0
NA1_4485116190,44,1,1,2,6,0,73571,169922,0,46,1,4,0,6,2,71965,129595,1
NA1_4485210147,33,1,1,1,3,0,71731,152660,0,50,1,4,1,9,2,80671,168931,1
NA1_4452353371,8,0,0,0,1,0,24622,29243,0,23,0,2,1,2,0,33334,32962,1
NA1_4478558189,18,0,0,0,0,0,37312,55350,0,31,1,2,1,8,1,50729,67493,1
NA1_4412703684,30,0,1,2,8,1,48965,72044,1,15,0,1,0,2,0,37747,49892,0
